Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ127,4364.432,11.659,10.094079362085674,11.412562000000003,8.484,2.075,15.335999999999999,3.688,2.565,70.643,14.309000000000001,0.76,S1K3,6.0,5.0,
TZ127,4364.492,14.540999999999999,10.250742103329655,13.370860000000011,8.486,2.08,15.142000000000001,3.6519999999999997,2.569,71.032,14.29,0.6890000000000001,S1K3,6.0,5.0,
TZ127,4364.592000000001,11.484000000000002,10.539696328686887,11.747808666666687,8.488999999999999,2.061,14.612,3.6010000000000004,2.575,71.262,14.147,0.6890000000000001,S1K3,6.0,5.0,
TZ127,4364.662,13.402000000000001,10.719563509535007,12.87324866666664,8.49,1.994,13.665999999999999,3.5439999999999996,2.576,71.033,13.964,0.7659999999999999,S1K3,5.0,5.0,
TZ127,4364.762,13.812999999999999,10.723264494531675,13.208079777777737,8.487,1.758,11.519,3.301,2.5669999999999997,69.501,13.385,1.217,S1K3,5.0,5.0,
TZ127,4364.832,11.382,10.571448484336134,11.559599333333356,8.482000000000001,1.558,9.972000000000001,3.077,2.559,67.99600000000001,12.808,1.838,S1K3,5.0,5.0,
TZ127,4364.9220000000005,10.841,10.38589777392937,10.787313333333334,8.472000000000001,1.328,8.355,2.8089999999999997,2.5469999999999997,66.336,11.998,7.374,S1K3,5.0,5.0,
TZ127,4365.232,8.426,10.795481050685433,11.293669333333332,8.437999999999999,0.929,7.085,2.998,2.516,66.156,10.604000000000001,30.041999999999998,S1K3,2.0,5.0,
TZ127,4365.3820000000005,9.387,10.307296126352842,9.615759555555556,8.464,0.862,7.024,3.154,2.537,65.253,10.264000000000001,23.364,S1K3,2.0,5.0,
TZ127,4366.072,11.205,9.82330599132104,11.349865422222239,8.516,2.369,12.852,2.148,2.6489999999999996,69.153,12.559000000000001,0.8,S1K3,5.0,5.0,
TZ127,4366.142,13.075,9.552717078904356,12.272838666666692,8.517000000000001,2.6069999999999998,13.665999999999999,1.8230000000000002,2.642,68.914,12.689,0.7979999999999999,S1K3,2.0,5.0,
TZ127,4366.232,13.707,9.185536261922277,12.506413999999994,8.519,2.839,14.345,1.5319999999999998,2.6319999999999997,68.49600000000001,12.866,0.35200000000000004,S1K3,2.0,5.0,
TZ127,4366.302,12.943,9.029535783428342,12.223209999999979,8.523,2.821,14.265999999999998,1.534,2.62,68.046,13.205,0.956,S1K3,2.0,5.0,
TZ127,4368.602,12.59,10.701744438527381,11.557156666666666,8.62,2.22,16.261,2.205,2.577,73.01,13.821,1.75,S1K3,5.0,5.0,
TZ127,4368.682,11.41,10.091246419542031,10.699411333333337,8.621,2.273,16.006,2.169,2.582,70.567,14.519,1.579,S1K3,5.0,5.0,
TZ127,4368.792,12.126,9.442819024938059,11.414419999999996,8.618,2.334,15.697000000000001,2.1180000000000003,2.6010000000000004,67.78699999999999,15.677999999999999,1.2790000000000001,S1K3,5.0,5.0,
TZ127,4368.812,10.466,9.348238119024652,10.156341999999997,8.618,2.342,15.610999999999999,2.101,2.6060000000000003,67.388,15.86,1.227,S1K3,5.0,5.0,
TZ127,4368.912,7.007000000000001,8.9776546269603,6.6280506666667085,8.613999999999999,2.372,14.864,1.989,2.628,65.695,16.576,1.004,S1K3,5.0,5.0,
TZ127,4368.962,7.803999999999999,8.86256573970798,6.301611333333373,8.613999999999999,2.355,14.214,1.9069999999999998,2.637,65.313,16.515,0.982,S1K3,5.0,5.0,
TZ127,4369.896,11.460999999999999,10.267265573569127,11.227389999999977,8.497,3.0610000000000004,10.642000000000001,2.753,2.5580000000000003,69.308,16.003,1.911,S1K3,4.0,4.0,
TZ127,4370.096,13.43,10.858382988283696,12.374305000000012,8.476,2.437,10.703,2.7430000000000003,2.532,68.82600000000001,15.107000000000001,4.149,S1K3,4.0,3.0,
TZ127,4370.1359999999995,13.165999999999999,11.02254398646462,12.881236266666717,8.476,2.28,10.699000000000002,2.7430000000000003,2.53,69.081,14.767999999999999,4.805,S1K3,4.0,3.0,
TZ127,4370.736,14.168,11.887186110383468,14.178135333333366,8.488,2.0909999999999997,14.038,2.266,2.574,73.829,16.594,2.573,S1K3,2.0,3.0,
